date,inflation,unemployment,interest_rate,industrial_production,log_inflation,log_industrial_production
1954-07-01,-1.2265808366160835,-4.18535108325694e-4,-1.0737183728160413,-1.655900123027584,-1.6281259728756317,-2.258305602629847
1954-08-01,-1.226694593699298,0.11942201757549868,-0.9551114578745764,-1.6568458760894154,-1.6285820982764834,-2.2611897717814835
1954-09-01,-1.2271496220321543,0.1793422939174106,-0.9974710703536709,-1.655900123027584,-1.6304083002544458,-2.258305602629847
1954-10-01,-1.2281734357810818,-0.06033881145023762,-1.0595985019896763,-1.648323551101017,-1.6345272366027568,-2.2353534356306537
1954-11-01,-1.227490893281797,-0.30001991681788637,-1.0652464503202224,-1.6379132357995945,-1.631779740684887,-2.2042529293801523
1954-12-01,-1.227604650365011,-0.4797807458436227,-0.9381676128829384,-1.6293909108111961,-1.6322372289254365,-2.179158435943296
1955-01-01,-1.227604650365011,-0.5397010221855346,-0.9071038970649359,-1.6142447985793393,-1.6322372289254365,-2.135344866373574
1955-02-01,-1.2270358649489403,-0.6595415748693589,-0.9353436387176655,-1.605722473590941,-1.629951494450221,-2.1111199367235454
1955-03-01,-1.2273771361985828,-0.7194618512112714,-0.9183997937260276,-1.589630608297253,-1.6313224232445063,-2.0661865375659936
1955-04-01,-1.2273771361985828,-0.6595415748693589,-0.895808000403844,-1.5811082833088546,-1.6313224232445063,-2.042804217107479
1955-05-01,-1.227604650365011,-0.8992226802370077,-0.895808000403844,-1.5697486991349618,-1.6322372289254365,-2.0120689125370634
1955-06-01,-1.228287192864296,-0.9591429565789196,-0.8365045429331115,-1.568799430262492,-1.6349857523295528,-2.0095223954828945
1955-07-01,-1.2277184074482252,-1.078983509262744,-0.8252086462720196,-1.563121396080865,-1.632694888093784,-1.9943597950711645
1955-08-01,-1.2281734357810818,-0.9591429565789196,-0.7461373696443764,-1.5640671491426963,-1.6345272366027568,-1.9968771257489515
1955-09-01,-1.226694593699298,-1.019063232920832,-0.6840099380083708,-1.5593348680229009,-1.6285820982764834,-1.9843136801729973
1955-10-01,-1.2270358649489403,-0.8992226802370077,-0.667066093016733,-1.547026014976538,-1.629951494450221,-1.9520113559982308
1955-11-01,-1.2263533224496552,-0.9591429565789196,-0.6360023771987303,-1.5451345088528754,-1.6272142313003548,-1.9470947403443335
1955-12-01,-1.2264670795328694,-0.9591429565789196,-0.5992907130501818,-1.5422937338567428,-1.6276700172590395,-1.9397339898129138
1956-01-01,-1.2269221078657262,-1.078983509262744,-0.6077626355460006,-1.5375579369263084,-1.6294948589370737,-1.927524734727703
1956-02-01,-1.2265808366160835,-1.1389037856046562,-0.5936427647196357,-1.5441852399804052,-1.6281259728756317,-1.9446319778859025
1956-03-01,-1.226239565366441,-0.9591429565789196,-0.5936427647196357,-1.5441852399804052,-1.626758614873367,-1.9446319778859025
1956-04-01,-1.2257845370335845,-1.078983509262744,-0.5597550747363601,-1.5385072057987783,-1.6249378419631166,-1.9299658796153978
1956-05-01,-1.2246469662014428,-0.8992226802370077,-0.5230434105878115,-1.5451309930422366,-1.6203977153799203,-1.94708561323602
1956-06-01,-1.223281881202873,-0.8992226802370077,-0.5343393072489033,-1.5517582960963336,-1.6149716832523449,-1.96436685076988
1956-07-01,-1.2216892820378746,-0.8393024038950953,-0.5230434105878115,-1.5744809802547575,-1.6086715420687825,-2.024813838955215
1956-08-01,-1.2214617678714463,-1.019063232920832,-0.5286913589183574,-1.5451345088528754,-1.6077741612595389,-1.9470947403443335
1956-09-01,-1.2210067395385897,-1.1389037856046562,-0.46656392728235196,-1.5280933746867171,-1.6059813695017742,-1.9033520117738445
1956-10-01,-1.2191866262071631,-1.1389037856046562,-0.46373995311707905,-1.5214660716326203,-1.5988363270055632,-1.8866030977735742
1956-11-01,-1.2191866262071631,-0.8992226802370077,-0.48633174643926286,-1.5280933746867171,-1.5988363270055632,-1.9033520117738445
1956-12-01,-1.2178215412085933,-0.9591429565789196,-0.469387901447625,-1.5167302747021858,-1.5935047636381516,-1.8747224088234244
1957-01-01,-1.2173665128757365,-0.9591429565789196,-0.49762764310035473,-1.5195710496983188,-1.5917327202913727,-1.8818403297115474
1957-02-01,-1.2158876707939525,-1.1389037856046562,-0.4524440564559871,-1.5119979935823906,-1.5859912200562294,-1.8629227164980977
1957-03-01,-1.2152051282946674,-1.2587443382884802,-0.46373995311707905,-1.512943746644222,-1.5833503464141927,-1.865275174971416
1957-04-01,-1.2144088287121682,-1.1389037856046562,-0.4524440564559871,-1.523357577756283,-1.5802765060311896,-1.8913687088636568
1957-05-01,-1.213612529129669,-1.019063232920832,-0.4524440564559871,-1.5261983527524157,-1.5772103598749623,-1.898548031433655
1957-06-01,-1.2123612012143135,-0.8992226802370077,-0.4524440564559871,-1.5243033308181144,-1.5724075833609779,-1.893755908032714
1957-07-01,-1.2114511445486,-0.9591429565789196,-0.45526803062126003,-1.5195710496983188,-1.5689264449616631,-1.8818403297115474
1957-08-01,-1.2104273307996727,-1.019063232920832,-0.3846686764894357,-1.5195710496983188,-1.5650219533438934,-1.8818403297115474
1957-09-01,-1.209972302466816,-0.8393024038950953,-0.31971727068815736,-1.5261983527524157,-1.5632906106530666,-1.898548031433655
1957-10-01,-1.209972302466816,-0.7793821275531834,-0.3112453481923385,-1.5375579369263084,-1.5632906106530666,-1.927524734727703
1957-11-01,-1.2089484887178885,-0.41986046950171074,-0.37337277982834394,-1.5555483399649366,-1.5594040137916503,-1.9743192781967152
1957-12-01,-1.2082659462186036,-0.3599401931597983,-0.45809200478653306,-1.5697486991349618,-1.5568197834031203,-2.0120689125370634
1958-01-01,-1.2063320758039628,-4.18535108325694e-4,-0.5315153330836303,-1.583003305243156,-1.5495272664174766,-2.047979212233654
1958-02-01,-1.2056495333046777,0.35910312294314745,-0.8280326204372925,-1.5981494174750126,-1.5469637675749874,-2.0898440613188094
1958-03-01,-1.2037156628900372,0.5388639519688837,-0.9607594062051222,-1.6066682266527723,-1.5397295201289085,-2.113793402655466
1958-04-01,-1.202919363307538,0.9583058863622688,-0.9438155612134845,-1.6180313266373036,-1.5367630861419048,-2.1462059181005846
1958-05-01,-1.202919363307538,0.9583058863622688,-1.1217259336256817,-1.6114040235832066,-1.5367630861419048,-2.127236259931809
